iso_code,year,iso_week,week_start,week_end,sCh,deaths,source,confidence_weight,disaggregation_method
GNQ,2008,26,2008-06-23,2008-06-29,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,27,2008-06-30,2008-07-06,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,28,2008-07-07,2008-07-13,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,29,2008-07-14,2008-07-20,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,30,2008-07-21,2008-07-27,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,31,2008-07-28,2008-08-03,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,32,2008-08-04,2008-08-10,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,33,2008-08-11,2008-08-17,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,34,2008-08-18,2008-08-24,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,35,2008-08-25,2008-08-31,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,36,2008-09-01,2008-09-07,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,37,2008-09-08,2008-09-14,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,38,2008-09-15,2008-09-21,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,39,2008-09-22,2008-09-28,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,40,2008-09-29,2008-10-05,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,41,2008-10-06,2008-10-12,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,42,2008-10-13,2008-10-19,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,43,2008-10-20,2008-10-26,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,44,2008-10-27,2008-11-02,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,45,2008-11-03,2008-11-09,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,46,2008-11-10,2008-11-16,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,47,2008-11-17,2008-11-23,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,48,2008-11-24,2008-11-30,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,49,2008-12-01,2008-12-07,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,50,2008-12-08,2008-12-14,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,51,2008-12-15,2008-12-21,0.0,0.0,AI,0.9,zero_fill
GNQ,2008,52,2008-12-22,2008-12-28,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,1,2008-12-29,2009-01-04,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,2,2009-01-05,2009-01-11,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,3,2009-01-12,2009-01-18,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,4,2009-01-19,2009-01-25,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,5,2009-01-26,2009-02-01,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,6,2009-02-02,2009-02-08,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,7,2009-02-09,2009-02-15,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,8,2009-02-16,2009-02-22,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,9,2009-02-23,2009-03-01,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,10,2009-03-02,2009-03-08,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,11,2009-03-09,2009-03-15,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,12,2009-03-16,2009-03-22,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,13,2009-03-23,2009-03-29,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,14,2009-03-30,2009-04-05,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,15,2009-04-06,2009-04-12,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,16,2009-04-13,2009-04-19,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,17,2009-04-20,2009-04-26,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,18,2009-04-27,2009-05-03,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,19,2009-05-04,2009-05-10,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,20,2009-05-11,2009-05-17,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,21,2009-05-18,2009-05-24,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,22,2009-05-25,2009-05-31,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,23,2009-06-01,2009-06-07,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,24,2009-06-08,2009-06-14,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,25,2009-06-15,2009-06-21,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,26,2009-06-22,2009-06-28,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,27,2009-06-29,2009-07-05,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,28,2009-07-06,2009-07-12,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,29,2009-07-13,2009-07-19,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,30,2009-07-20,2009-07-26,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,31,2009-07-27,2009-08-02,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,32,2009-08-03,2009-08-09,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,33,2009-08-10,2009-08-16,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,34,2009-08-17,2009-08-23,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,35,2009-08-24,2009-08-30,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,36,2009-08-31,2009-09-06,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,37,2009-09-07,2009-09-13,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,38,2009-09-14,2009-09-20,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,39,2009-09-21,2009-09-27,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,40,2009-09-28,2009-10-04,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,41,2009-10-05,2009-10-11,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,42,2009-10-12,2009-10-18,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,43,2009-10-19,2009-10-25,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,44,2009-10-26,2009-11-01,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,45,2009-11-02,2009-11-08,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,46,2009-11-09,2009-11-15,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,47,2009-11-16,2009-11-22,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,48,2009-11-23,2009-11-29,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,49,2009-11-30,2009-12-06,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,50,2009-12-07,2009-12-13,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,51,2009-12-14,2009-12-20,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,52,2009-12-21,2009-12-27,0.0,0.0,AI,0.9,zero_fill
GNQ,2009,53,2009-12-28,2010-01-03,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,1,2010-01-04,2010-01-10,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,2,2010-01-11,2010-01-17,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,3,2010-01-18,2010-01-24,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,4,2010-01-25,2010-01-31,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,5,2010-02-01,2010-02-07,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,6,2010-02-08,2010-02-14,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,7,2010-02-15,2010-02-21,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,8,2010-02-22,2010-02-28,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,9,2010-03-01,2010-03-07,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,10,2010-03-08,2010-03-14,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,11,2010-03-15,2010-03-21,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,12,2010-03-22,2010-03-28,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,13,2010-03-29,2010-04-04,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,14,2010-04-05,2010-04-11,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,15,2010-04-12,2010-04-18,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,16,2010-04-19,2010-04-25,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,17,2010-04-26,2010-05-02,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,18,2010-05-03,2010-05-09,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,19,2010-05-10,2010-05-16,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,20,2010-05-17,2010-05-23,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,21,2010-05-24,2010-05-30,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,22,2010-05-31,2010-06-06,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,23,2010-06-07,2010-06-13,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,24,2010-06-14,2010-06-20,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,25,2010-06-21,2010-06-27,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,26,2010-06-28,2010-07-04,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,27,2010-07-05,2010-07-11,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,28,2010-07-12,2010-07-18,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,29,2010-07-19,2010-07-25,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,30,2010-07-26,2010-08-01,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,31,2010-08-02,2010-08-08,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,32,2010-08-09,2010-08-15,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,33,2010-08-16,2010-08-22,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,34,2010-08-23,2010-08-29,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,35,2010-08-30,2010-09-05,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,36,2010-09-06,2010-09-12,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,37,2010-09-13,2010-09-19,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,38,2010-09-20,2010-09-26,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,39,2010-09-27,2010-10-03,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,40,2010-10-04,2010-10-10,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,41,2010-10-11,2010-10-17,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,42,2010-10-18,2010-10-24,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,43,2010-10-25,2010-10-31,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,44,2010-11-01,2010-11-07,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,45,2010-11-08,2010-11-14,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,46,2010-11-15,2010-11-21,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,47,2010-11-22,2010-11-28,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,48,2010-11-29,2010-12-05,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,49,2010-12-06,2010-12-12,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,50,2010-12-13,2010-12-19,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,51,2010-12-20,2010-12-26,0.0,0.0,AI,0.9,zero_fill
GNQ,2010,52,2010-12-27,2011-01-02,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,1,2011-01-03,2011-01-09,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,2,2011-01-10,2011-01-16,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,3,2011-01-17,2011-01-23,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,4,2011-01-24,2011-01-30,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,5,2011-01-31,2011-02-06,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,6,2011-02-07,2011-02-13,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,7,2011-02-14,2011-02-20,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,8,2011-02-21,2011-02-27,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,9,2011-02-28,2011-03-06,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,10,2011-03-07,2011-03-13,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,11,2011-03-14,2011-03-20,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,12,2011-03-21,2011-03-27,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,13,2011-03-28,2011-04-03,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,14,2011-04-04,2011-04-10,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,15,2011-04-11,2011-04-17,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,16,2011-04-18,2011-04-24,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,17,2011-04-25,2011-05-01,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,18,2011-05-02,2011-05-08,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,19,2011-05-09,2011-05-15,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,20,2011-05-16,2011-05-22,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,21,2011-05-23,2011-05-29,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,22,2011-05-30,2011-06-05,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,23,2011-06-06,2011-06-12,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,24,2011-06-13,2011-06-19,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,25,2011-06-20,2011-06-26,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,26,2011-06-27,2011-07-03,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,27,2011-07-04,2011-07-10,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,28,2011-07-11,2011-07-17,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,29,2011-07-18,2011-07-24,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,30,2011-07-25,2011-07-31,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,31,2011-08-01,2011-08-07,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,32,2011-08-08,2011-08-14,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,33,2011-08-15,2011-08-21,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,34,2011-08-22,2011-08-28,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,35,2011-08-29,2011-09-04,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,36,2011-09-05,2011-09-11,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,37,2011-09-12,2011-09-18,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,38,2011-09-19,2011-09-25,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,39,2011-09-26,2011-10-02,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,40,2011-10-03,2011-10-09,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,41,2011-10-10,2011-10-16,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,42,2011-10-17,2011-10-23,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,43,2011-10-24,2011-10-30,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,44,2011-10-31,2011-11-06,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,45,2011-11-07,2011-11-13,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,46,2011-11-14,2011-11-20,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,47,2011-11-21,2011-11-27,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,48,2011-11-28,2011-12-04,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,49,2011-12-05,2011-12-11,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,50,2011-12-12,2011-12-18,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,51,2011-12-19,2011-12-25,0.0,0.0,JHU,0.7,zero_fill
GNQ,2011,52,2011-12-26,2012-01-01,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,1,2012-01-02,2012-01-08,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,2,2012-01-09,2012-01-15,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,3,2012-01-16,2012-01-22,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,4,2012-01-23,2012-01-29,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,5,2012-01-30,2012-02-05,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,6,2012-02-06,2012-02-12,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,7,2012-02-13,2012-02-19,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,8,2012-02-20,2012-02-26,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,9,2012-02-27,2012-03-04,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,10,2012-03-05,2012-03-11,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,11,2012-03-12,2012-03-18,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,12,2012-03-19,2012-03-25,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,13,2012-03-26,2012-04-01,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,14,2012-04-02,2012-04-08,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,15,2012-04-09,2012-04-15,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,16,2012-04-16,2012-04-22,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,17,2012-04-23,2012-04-29,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,18,2012-04-30,2012-05-06,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,19,2012-05-07,2012-05-13,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,20,2012-05-14,2012-05-20,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,21,2012-05-21,2012-05-27,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,22,2012-05-28,2012-06-03,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,23,2012-06-04,2012-06-10,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,24,2012-06-11,2012-06-17,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,25,2012-06-18,2012-06-24,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,26,2012-06-25,2012-07-01,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,27,2012-07-02,2012-07-08,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,28,2012-07-09,2012-07-15,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,29,2012-07-16,2012-07-22,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,30,2012-07-23,2012-07-29,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,31,2012-07-30,2012-08-05,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,32,2012-08-06,2012-08-12,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,33,2012-08-13,2012-08-19,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,34,2012-08-20,2012-08-26,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,35,2012-08-27,2012-09-02,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,36,2012-09-03,2012-09-09,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,37,2012-09-10,2012-09-16,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,38,2012-09-17,2012-09-23,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,39,2012-09-24,2012-09-30,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,40,2012-10-01,2012-10-07,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,41,2012-10-08,2012-10-14,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,42,2012-10-15,2012-10-21,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,43,2012-10-22,2012-10-28,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,44,2012-10-29,2012-11-04,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,45,2012-11-05,2012-11-11,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,46,2012-11-12,2012-11-18,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,47,2012-11-19,2012-11-25,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,48,2012-11-26,2012-12-02,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,49,2012-12-03,2012-12-09,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,50,2012-12-10,2012-12-16,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,51,2012-12-17,2012-12-23,0.0,0.0,JHU,0.7,zero_fill
GNQ,2012,52,2012-12-24,2012-12-30,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,1,2012-12-31,2013-01-06,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,2,2013-01-07,2013-01-13,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,3,2013-01-14,2013-01-20,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,4,2013-01-21,2013-01-27,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,5,2013-01-28,2013-02-03,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,6,2013-02-04,2013-02-10,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,7,2013-02-11,2013-02-17,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,8,2013-02-18,2013-02-24,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,9,2013-02-25,2013-03-03,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,10,2013-03-04,2013-03-10,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,11,2013-03-11,2013-03-17,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,12,2013-03-18,2013-03-24,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,13,2013-03-25,2013-03-31,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,14,2013-04-01,2013-04-07,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,15,2013-04-08,2013-04-14,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,16,2013-04-15,2013-04-21,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,17,2013-04-22,2013-04-28,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,18,2013-04-29,2013-05-05,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,19,2013-05-06,2013-05-12,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,20,2013-05-13,2013-05-19,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,21,2013-05-20,2013-05-26,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,22,2013-05-27,2013-06-02,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,23,2013-06-03,2013-06-09,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,24,2013-06-10,2013-06-16,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,25,2013-06-17,2013-06-23,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,26,2013-06-24,2013-06-30,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,27,2013-07-01,2013-07-07,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,28,2013-07-08,2013-07-14,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,29,2013-07-15,2013-07-21,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,30,2013-07-22,2013-07-28,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,31,2013-07-29,2013-08-04,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,32,2013-08-05,2013-08-11,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,33,2013-08-12,2013-08-18,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,34,2013-08-19,2013-08-25,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,35,2013-08-26,2013-09-01,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,36,2013-09-02,2013-09-08,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,37,2013-09-09,2013-09-15,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,38,2013-09-16,2013-09-22,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,39,2013-09-23,2013-09-29,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,40,2013-09-30,2013-10-06,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,41,2013-10-07,2013-10-13,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,42,2013-10-14,2013-10-20,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,43,2013-10-21,2013-10-27,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,44,2013-10-28,2013-11-03,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,45,2013-11-04,2013-11-10,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,46,2013-11-11,2013-11-17,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,47,2013-11-18,2013-11-24,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,48,2013-11-25,2013-12-01,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,49,2013-12-02,2013-12-08,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,50,2013-12-09,2013-12-15,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,51,2013-12-16,2013-12-22,0.0,0.0,JHU,0.7,zero_fill
GNQ,2013,52,2013-12-23,2013-12-29,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,1,2013-12-30,2014-01-05,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,2,2014-01-06,2014-01-12,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,3,2014-01-13,2014-01-19,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,4,2014-01-20,2014-01-26,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,5,2014-01-27,2014-02-02,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,6,2014-02-03,2014-02-09,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,7,2014-02-10,2014-02-16,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,8,2014-02-17,2014-02-23,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,9,2014-02-24,2014-03-02,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,10,2014-03-03,2014-03-09,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,11,2014-03-10,2014-03-16,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,12,2014-03-17,2014-03-23,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,13,2014-03-24,2014-03-30,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,14,2014-03-31,2014-04-06,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,15,2014-04-07,2014-04-13,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,16,2014-04-14,2014-04-20,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,17,2014-04-21,2014-04-27,0.0,0.0,JHU,0.7,zero_fill
GNQ,2014,18,2014-04-28,2014-05-04,0.0,0.0,JHU,0.7,zero_fill
